Id,M25
2552,4.0
2435,43.0
2438,10.0
2442,10.0
2439,20.0
2447,41.0
2448,15.0
2452,16.0
2454,20.0
2464,28.0
2467,41.0
2445,28.0
2478,40.0
2479,38.0
2488,15.0
2489,52.0
2555,5.0
2558,4.0
2559,3.0
2496,86.0
2487,31.0
2499,43.0
2510,6.0
2509,43.0
2518,59.0
2528,2.0
2546,1.0
2547,2.0
2551,80.0
2549,18.0
2567,3.0
2564,69.0
2579,1.0
2583,1.0
2584,3.0
2545,3.0
2587,2.0
2588,1.0
2585,2.0
2586,1.0
2609,60.0
2610,1.0
2628,2.0
2635,1.0
2589,47.0
2655,1.0
2623,1.0
2606,57.0
2658,19.0
2647,2.0
2668,1.0
2669,1.0
2657,1.0
2678,1.0
2602,32.0
2695,4.0
2719,4.0
2689,1.0
2711,4.0
2732,51.0
2737,5.0
2709,6.0
2667,44.0
2770,1.0
2748,51.0
2749,33.0
2752,3.0
2762,28.0
2764,1.0
2791,1.0
2778,4.0
2759,3.0
2743,6.0
2803,3.0
2779,1.0
2780,81.0
2783,1.0
2742,27.0
2822,9.0
2824,2.0
2825,1.0
2826,4.0
2832,1.0
2834,1.0
2831,2.0
2830,2.0
2820,1.0
2850,3.0
2799,42.0
2892,7.0
2840,58.0
2888,26.0
2895,34.0
2915,1.0
2860,34.0
2947,62.0
2935,0.0
2954,0.0
2958,32.0
2758,31.0
2959,43.0
2766,3.0
2917,27.0
2984,40.0
2863,18.0
3015,2.0
2974,11.0
3046,33.0
3007,6.0
2975,46.0
3085,1.0
3064,24.0
3080,30.0
3090,0.0
3043,56.0
3102,2.0
3108,29.0
3065,40.0
3081,1.0
3066,45.0
3126,10.0
3132,6.0
3077,8.0
3135,1.0
3112,0.0
3023,41.0
2914,3.0
3118,3.0
3152,2.0
3154,5.0
3125,3.0
3149,4.0
3116,1.0
3084,59.0
3106,2.0
3184,4.0
3163,46.0
3190,2.0
3191,1.0
3170,2.0
3211,7.0
3219,4.0
3193,10.0
3161,3.0
3188,2.0
3235,7.0
3242,2.0
3238,5.0
2598,1.0
3251,2.0
3252,2.0
3254,1.0
3255,1.0
3199,0.0
3209,54.0
3194,1.0
3272,10.0
3275,1.0
3250,0.0
3294,66.0
3289,0.0
3273,11.0
3296,1.0
3141,1.0
3284,1.0
3288,57.0
3341,1.0
3331,2.0
3316,65.0
3357,3.0
3358,2.0
3300,0.0
3346,10.0
3353,53.0
3384,5.0
3383,1.0
3342,49.0
3387,1.0
3337,23.0
3347,2.0
3412,27.0
3420,1.0
3377,47.0
3435,2.0
3421,1.0
3414,32.0
3436,2.0
3439,9.0
3429,3.0
3438,7.0
3385,23.0
3443,1.0
3198,53.0
3370,55.0
3425,4.0
3470,2.0
3467,4.0
3465,1.0
3466,1.0
3483,2.0
3484,2.0
3364,34.0
3471,21.0
3366,45.0
3488,2.0
3478,2.0
3445,57.0
3492,1.0
3446,51.0
3477,58.0
3496,2.0
3495,4.0
3427,1.0
3497,7.0
3501,4.0
3507,35.0
3509,28.0
3338,77.0
3516,1.0
3512,2.0
3517,41.0
3386,27.0
2969,49.0
3354,48.0
3531,2.0
3524,54.0
3533,6.0
3525,2.0
3552,1.0
3521,55.0
3556,1.0
3557,1.0
3558,1.0
3559,1.0
3536,2.0
3560,1.0
3540,57.0
3526,64.0
3529,1.0
3539,76.0
3504,57.0
3555,1.0
3574,2.0
3578,1.0
3583,1.0
3584,2.0
3564,1.0
3581,11.0
3596,4.0
3597,4.0
3585,3.0
3594,1.0
3598,1.0
3362,55.0
3602,10.0
3603,1.0
3611,50.0
3586,54.0
3613,1.0
3599,55.0
3616,1.0
3582,8.0
3592,2.0
3620,1.0
3617,4.0
3532,51.0
3632,2.0
3638,39.0
3633,2.0
3640,1.0
3645,23.0
3642,1.0
3647,1.0
3651,1.0
3646,1.0
3648,1.0
3618,21.0
3656,5.0
3658,1.0
3636,2.0
3655,4.0
3659,3.0
3565,2.0
3661,2.0
3669,3.0
3660,3.0
3690,2.0
3671,1.0
3722,1.0
3729,4.0
3742,1.0
3744,2.0
3746,1.0
3747,1.0
3731,14.0
3752,1.0
3750,3.0
3670,66.0
3765,1.0
3757,24.0
3175,64.0
3706,50.0
3786,4.0
3781,1.0
3787,1.0
3783,4.0
3794,3.0
3756,78.0
3793,25.0
3634,48.0
3808,1.0
3772,63.0
3792,1.0
3809,1.0
3801,6.0
3814,6.0
3811,1.0
3232,1.0
3774,48.0
3819,1.0
3823,5.0
3825,1.0
3826,2.0
3829,1.0
3788,85.0
3830,1.0
3833,2.0
3836,2.0
3816,60.0
3842,1.0
3845,1.0
3834,4.0
3844,4.0
3848,1.0
3850,2.0
3849,1.0
3851,3.0
3856,1.0
3855,1.0
3857,1.0
3860,4.0
3866,2.0
3858,1.0
3861,7.0
3872,5.0
3859,1.0
3878,1.0
3877,1.0
3876,1.0
3871,6.0
3879,2.0
3880,1.0
3881,2.0
3883,1.0
3884,1.0
3889,1.0
3890,5.0
3891,4.0
3875,4.0
3892,2.0
3778,23.0
3893,1.0
3895,1.0
3896,1.0
3785,4.0
