Id,X14,X15,X25,X26,X27,X31,PrepDays,DurationInt,DayOfYear,DayOfWeek,M28_IsClamped,M28_AU,M28_CA,M28_CN,M28_DE,M28_ES,M28_FR,M28_GB,M28_IN,M28_NL,M28_RU,M28_TW,M28_US,M7_3,M7_7,M7_15,M7_30,M8,M9_3,M9_7,M9_15,M9_30,M9_D7,M9_D15,M9_D30,M9_Ddeadline,M10_3,M10_7,M10_15,M10_30,M10_deadline,M11_3,M11_7,M11_15,M11_30,M12,M13_3,M13_7,M13_15,M13_30,M13_D7,M13_D15,M13_D30,M13_Ddeadline,M14_3,M14_7,M14_15,M14_30,M15,M43,M16_3,M16_7,M16_15,M16_30,M16_D7,M16_D15,M16_D30,M16_Ddeadline,M44,M45,M46,M17,M18_3,M18_7,M18_15,M18_30,M18_deadline,M19,M21_3,M21_7,M21_15,M21_30,M21_deadline,M22_3,M22_7,M22_15,M22_30,M22_deadline,M23_3,M23_7,M23_15,M23_30,M23_deadline,M24_3,M24_7,M24_15,M24_30,M24_deadline,M23_IsClamped,M22_IsClamped,M25
2435,500.0,1,4,4.0,,693.0,0.0,97.0,117,2,1.0,0.36363636363636365,0.6666666666666666,1.0,0.8,0.6666666666666666,0.6,0.5833333333333334,1.0,1.0,1.0,0.0,0.7692307692307693,37.0,43.0,56.0,96.0,113.0,0.3274336283185841,0.3805309734513274,0.49557522123893805,0.8495575221238938,0.053097345132743334,0.11504424778761063,0.35398230088495575,0.1504424778761062,122.5945945945946,117.18604651162792,83.91891891891892,117.9,29.0,4.0,17.0,78.0,144.0,855.0,0.004678362573099415,0.019883040935672516,0.0912280701754386,0.16842105263157894,0.015204678362573101,0.07134502923976609,0.07719298245614034,0.8315789473684211,2.0,6.0,16.0,26.0,116.0,42.0,0.017241379310344827,0.05172413793103448,0.13793103448275862,0.22413793103448276,0.034482758620689655,0.08620689655172414,0.08620689655172414,0.7758620689655172,0.6379310344827587,0.07598649129043726,0.01004265908282972,6.0,2.0,6.0,15.0,25.0,107.0,0.056074766355140186,0.0,0.0,0.0,90.0,283.0,0.6666666666666666,0.8571428571428571,0.8,0.49056603773584906,0.4915254237288136,0.0,0.0,0.0,1.0,1.0,,,,0.7111111111111111,0.5901060070671378,1.0,,43.0
2438,100.0,1,5,5.0,,33.0,0.0,9.0,154,4,,0.5555555555555556,0.5,0.0,0.6666666666666666,1.0,,0.7142857142857143,,0.0,,0.0,0.52,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,49.0,68.0,68.0,68.0,0.16176470588235295,0.7205882352941176,1.0,1.0,0.5588235294117647,0.27941176470588236,0.0,0.0,11.0,49.0,69.0,69.0,69.0,22.0,0.15942028985507245,0.7101449275362319,1.0,1.0,0.5507246376811594,0.28985507246376807,0.0,0.0,0.6811594202898551,0.10950080515297907,0.0,1.0,11.0,49.0,68.0,68.0,68.0,0.014705882352941176,0.0,0.0,0.0,0.0,,0.15942028985507245,0.46226415094339623,0.5433070866141733,0.5433070866141733,0.5433070866141733,0.0,0.0,0.0,0.0,,,,,,,,,10.0
2439,0.0,1,5,5.0,,2540.0,0.0,110.0,172,1,,0.28,0.45454545454545453,0.375,0.0,0.0,0.5454545454545454,0.2777777777777778,0.9,0.0,0.5,0.0,0.3225806451612903,69.0,72.0,76.0,99.0,236.0,0.2923728813559322,0.3050847457627119,0.3220338983050847,0.4194915254237288,0.012711864406779683,0.016949152542372836,0.09745762711864409,0.5805084745762712,201.3913043478261,195.75,214.5890410958904,78.69565217391305,293.6666666666667,8.0,68.0,123.0,205.0,1483.0,0.005394470667565745,0.045853000674308836,0.08293998651382332,0.13823331085637222,0.04045853000674309,0.03708698583951449,0.0552933243425489,0.8617666891436278,1.0,6.0,17.0,32.0,153.0,55.0,0.006535947712418301,0.0392156862745098,0.1111111111111111,0.20915032679738563,0.032679738562091505,0.0718954248366013,0.09803921568627452,0.7908496732026143,0.6405228758169934,0.08811645870469399,0.014022578728461082,4.0,1.0,6.0,17.0,32.0,145.0,0.027586206896551724,115.0,191.0,289.0,434.0,873.0,0.006944444444444444,0.0392156862745098,0.09883720930232558,0.1568627450980392,0.27419354838709675,0.7986111111111112,1.0,1.0,1.0,1.0,0.991304347826087,0.9685863874345549,0.9411764705882353,0.9262672811059908,0.8247422680412371,1.0,,20.0
2442,100.0,1,5,5.0,,33.0,0.0,9.0,154,4,,0.5555555555555556,0.5,0.0,0.6666666666666666,1.0,,0.7142857142857143,,0.0,,0.0,0.52,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,45.0,63.0,63.0,63.0,0.1111111111111111,0.7142857142857143,1.0,1.0,0.6031746031746033,0.2857142857142857,0.0,0.0,7.0,45.0,64.0,64.0,64.0,22.0,0.109375,0.703125,1.0,1.0,0.59375,0.296875,0.0,0.0,0.65625,0.109375,0.0,1.0,7.0,45.0,63.0,63.0,63.0,0.015873015873015872,0.0,0.0,0.0,0.0,,0.10144927536231885,0.42452830188679247,0.5039370078740157,0.5039370078740157,0.5039370078740157,0.0,0.0,0.0,0.0,,,,,,,,,10.0
2445,5000.0,1,2,5.0,,2177.0,0.0,70.0,347,1,,0.375,0.21739130434782608,0.23809523809523808,0.15789473684210525,0.09090909090909091,0.18181818181818182,0.0,0.2916666666666667,0.0,0.3888888888888889,0.5,0.21875,20.0,36.0,41.0,45.0,68.0,0.29411764705882354,0.5294117647058824,0.6029411764705882,0.6617647058823529,0.23529411764705882,0.07352941176470584,0.05882352941176472,0.3382352941176471,42.25,41.66666666666666,41.67857142857143,17.5,86.3,49.0,124.0,391.0,1112.0,2800.0,0.0175,0.04428571428571428,0.13964285714285715,0.39714285714285713,0.02678571428571428,0.09535714285714286,0.25749999999999995,0.6028571428571429,9.0,14.0,28.0,73.0,217.0,66.0,0.041474654377880185,0.06451612903225806,0.12903225806451613,0.33640552995391704,0.023041474654377878,0.06451612903225806,0.2073732718894009,0.663594470046083,0.695852534562212,0.18433179723502302,0.004476629361421988,11.0,8.0,13.0,26.0,68.0,204.0,0.05392156862745098,205.0,239.0,278.0,354.0,626.0,0.01171875,0.017632241813602016,0.033532934131736525,0.08075221238938053,0.18265993265993266,0.2669270833333333,0.30100755667506296,0.332934131736527,0.3915929203539823,0.5269360269360269,0.9560975609756097,0.9414225941422594,0.8992805755395683,0.7937853107344632,0.6533546325878594,,,28.0
2447,617.0,10,2,2.0,,7810.0,0.0,107.0,215,2,1.0,0.36,0.23529411764705882,0.42857142857142855,0.4444444444444444,0.3333333333333333,0.23076923076923078,0.7142857142857143,0.18181818181818182,0.5,1.0,0.0,0.44680851063829785,55.0,122.0,185.0,383.0,706.0,0.07790368271954674,0.17280453257790368,0.26203966005665724,0.5424929178470255,0.09490084985835694,0.08923512747875356,0.2804532577903682,0.45750708215297453,87.72727272727273,89.8688524590164,90.00540540540541,171.15656565656562,187.64634146341461,136.0,283.0,564.0,1137.0,3227.0,0.04214440656956926,0.08769755190579485,0.1747753331267431,0.3523396343352959,0.04555314533622559,0.08707778122094824,0.17756430120855282,0.6476603656647041,23.0,38.0,61.0,105.0,262.0,66.0,0.08778625954198473,0.1450381679389313,0.23282442748091603,0.40076335877862596,0.05725190839694656,0.08778625954198474,0.16793893129770993,0.5992366412213741,0.7480916030534351,0.11511022330027824,0.025183705500463723,9.0,21.0,36.0,58.0,102.0,252.0,0.03571428571428571,187.0,225.0,268.0,385.0,642.0,0.08243727598566308,0.12709030100334448,0.18944099378881987,0.28,0.40683229813664595,0.6702508960573477,0.7525083612040134,0.8322981366459627,1.0,0.9968944099378882,0.8770053475935828,0.8311111111111111,0.7723880597014925,0.7272727272727273,0.5919003115264798,1.0,,41.0
2448,500.0,1,2,2.0,,5.0,0.0,42.0,221,1,1.0,0.1111111111111111,0.375,0.2,0.14285714285714285,0.25,0.3,0.06666666666666667,0.0,0.0,1.0,0.0,0.10869565217391304,20.0,26.0,28.0,28.0,32.0,0.625,0.8125,0.875,0.875,0.1875,0.0625,0.0,0.125,32.2,38.769230769230774,49.08333333333334,0.0,19.25,22.0,34.0,59.0,203.0,477.0,0.04612159329140461,0.07127882599580712,0.12368972746331237,0.42557651991614254,0.02515723270440251,0.05241090146750525,0.3018867924528302,0.5744234800838575,3.0,4.0,7.0,12.0,60.0,22.0,0.05,0.06666666666666667,0.11666666666666667,0.2,0.016666666666666663,0.05,0.08333333333333334,0.8,0.6333333333333333,0.18928571428571428,0.012698412698412698,4.0,3.0,4.0,7.0,12.0,55.0,0.07272727272727272,101.0,119.0,159.0,211.0,255.0,0.009708737864077669,0.012461059190031152,0.01977401129943503,0.030534351145038167,0.133630289532294,0.3268608414239482,0.3707165109034268,0.4491525423728814,0.5368956743002544,0.5679287305122495,0.9702970297029703,0.9663865546218487,0.9559748427672956,0.943127962085308,0.7647058823529411,,,15.0
2452,500.0,1,3,3.0,,16.0,0.0,63.0,263,1,,0.13043478260869565,0.23529411764705882,0.0,0.0,0.0,0.07692307692307693,0.047619047619047616,0.0,0.25,0.8333333333333334,,0.08633093525179857,4.0,4.0,14.0,33.0,55.0,0.07272727272727272,0.07272727272727272,0.2545454545454545,0.6,0.0,0.1818181818181818,0.34545454545454546,0.4,33.75,33.75,43.57142857142857,50.89473684210525,106.0,40.0,75.0,114.0,260.0,695.0,0.05755395683453238,0.1079136690647482,0.16402877697841728,0.37410071942446044,0.05035971223021582,0.05611510791366908,0.21007194244604316,0.6258992805755396,3.0,3.0,5.0,15.0,46.0,16.0,0.06521739130434782,0.06521739130434782,0.10869565217391304,0.32608695652173914,0.0,0.043478260869565216,0.2173913043478261,0.6739130434782609,0.6521739130434783,0.2398205659075224,0.018978605935127672,3.0,3.0,3.0,5.0,12.0,42.0,0.07142857142857142,42.0,49.0,67.0,118.0,180.0,0.006382978723404255,0.006172839506172839,0.009671179883945842,0.025996533795493933,0.07244094488188976,0.08936170212765958,0.10082304526748971,0.12959381044487428,0.2045060658578856,0.28346456692913385,0.9285714285714286,0.9387755102040817,0.9253731343283582,0.8728813559322034,0.7444444444444445,,,16.0
2454,150.0,1,2,5.0,,33125.0,0.0,121.0,283,7,,0.05128205128205128,0.42105263157894735,0.15789473684210525,0.17647058823529413,0.16666666666666666,0.0,0.08,0.0,0.2,0.13333333333333333,0.0,0.13636363636363635,6.0,16.0,16.0,20.0,22.0,0.2727272727272727,0.7272727272727273,0.7272727272727273,0.9090909090909091,0.4545454545454546,0.0,0.18181818181818177,0.09090909090909094,79.16666666666667,60.375,45.0,50.5,0.0,17.0,26.0,40.0,99.0,558.0,0.03046594982078853,0.04659498207885305,0.07168458781362007,0.1774193548387097,0.01612903225806452,0.02508960573476702,0.10573476702508962,0.8225806451612903,6.0,7.0,10.0,13.0,58.0,24.0,0.10344827586206896,0.1206896551724138,0.1724137931034483,0.22413793103448276,0.017241379310344834,0.05172413793103449,0.051724137931034475,0.7758620689655172,0.5862068965517242,0.07950983186092904,0.003134796238244514,1.0,6.0,7.0,10.0,13.0,57.0,0.017543859649122806,43.0,59.0,74.0,94.0,187.0,0.0106951871657754,0.01232394366197183,0.017094017094017096,0.021630615640599003,0.054976303317535544,0.0766488413547237,0.10387323943661972,0.1264957264957265,0.15640599001663893,0.17725118483412322,0.8604651162790697,0.8813559322033898,0.8648648648648649,0.8617021276595744,0.6898395721925134,,,20.0
2464,950.0,1,2,5.0,,8960.0,0.0,65.0,312,1,,0.1,0.2,0.26666666666666666,0.3,0.5,0.14285714285714285,0.045454545454545456,0.125,0.0,0.3333333333333333,,0.1791907514450867,34.0,56.0,56.0,64.0,98.0,0.3469387755102041,0.5714285714285714,0.5714285714285714,0.6530612244897959,0.22448979591836732,0.0,0.08163265306122447,0.34693877551020413,63.0,59.69642857142857,61.061224489795926,34.875,106.625,23.0,53.0,129.0,350.0,1124.0,0.020462633451957295,0.04715302491103203,0.11476868327402136,0.3113879003558719,0.026690391459074734,0.06761565836298933,0.19661921708185054,0.6886120996441281,7.0,11.0,21.0,34.0,141.0,41.0,0.04964539007092199,0.07801418439716312,0.14893617021276595,0.24113475177304963,0.028368794326241134,0.07092198581560283,0.09219858156028368,0.7588652482269503,0.7092198581560284,0.1226404800872886,0.010692853246044735,13.0,7.0,11.0,21.0,34.0,117.0,0.1111111111111111,94.0,119.0,165.0,281.0,400.0,0.011513157894736841,0.017432646592709985,0.0328125,0.047954866008462625,0.15597345132743362,0.15460526315789475,0.18858954041204437,0.2578125,0.39633286318758815,0.4424778761061947,0.925531914893617,0.907563025210084,0.8727272727272728,0.8790035587188612,0.6475,,,28.0
